,surface_composition,density,band_gap,efermi,formation_energy_per_atom,total_magnetization,volume,energy_per_atom,pretty_formula,material_id
0,Ag,9.922634874594548,0.0,3.05560379,0.0,0.008471166666666667,54.15477715574246,-2.8325290566666665,Ag,mp-989737
1,Au,18.02565607297311,0.0,4.98107818,0.0,5.36e-05,18.144731116281537,-3.27388154,Au,mp-81
2,Ga,5.742583400308233,0.0,2.88645814,0.0,4.75e-06,80.6450736679505,-3.02808992,Ga,mp-142
3,Hf,13.183222602971489,0.0,4.91075768,0.0,9.9e-06,44.964668643405595,-9.95718477,Hf,mp-103
4,La,6.208915966373657,0.0,7.88912133,0.0,0.037213925,148.59789422091407,-4.936007105,La,mp-26
5,Nb,8.427646883754438,0.0,4.8450688,0.0,0.0016972,18.305782818662305,-10.10130504,Nb,mp-75
6,Pd,11.408077466103864,0.0,4.42624335,0.0,0.0021004,15.490302199703093,-5.17648694,Pd,mp-2
7,Ta,16.38780394913755,0.0,5.34098221,0.0,0.0012047,18.335038952809896,-11.85777728,Ta,mp-50
8,Zr,6.44609209980321,0.0,4.32853081,0.0,0.0002669,46.999333384064705,-8.54770063,Zr,mp-131
9,W,18.854007561757314,0.0,7.27424497,0.0,0.0004241,16.191438398643058,-12.95812647,W,mp-91
10,Y,4.547349702821745,0.0,3.12687241,0.0,0.0088103,97.39627265701851,-6.466074656666667,Y,mp-1187739
11,Zn,6.981484851061407,0.0,2.8517219,0.0,0.0014295,31.114928163376767,-1.259460605,Zn,mp-79
12,V,6.312904042916114,0.0,5.88057507,0.0,0.0054114,13.399593956465264,-9.08235617,V,mp-146
13,Tc,11.152622748727236,0.0,8.26392615,0.0,0.00179565,29.182880510393204,-10.36061991,Tc,mp-113
14,Sc,3.023050895931203,0.0,3.66571806,0.0,0.42761595,49.38788708526633,-6.332469105,Sc,mp-67
15,Cr,7.274080970886649,0.0,7.11582802,0.0,1e-07,23.73950900640468,-9.65304747,Cr,mp-90
16,Cu,8.888274633075854,0.0,6.8766325,0.0,4.58e-05,11.871889639130941,-4.09920667,Cu,mp-30
17,Al,2.7200495853324616,0.0,8.04515389,0.0,0.0004155,16.471721384740732,-3.74557583,Al,mp-134
18,Bi,9.44840978387041,0.0,4.7362445,0.0,4e-07,73.45577219694691,-3.88641638,Bi,mp-23152
19,Ti,4.646836629961642,0.0,5.921256,0.0,0.0007181333333333333,51.31557003001307,-7.895052840000001,Ti,mp-72
20,Hg,10.466899494409137,0.307,0.08174203,0.0,0.0,63.645883204899725,-0.30362902,Hg,mp-1184554
21,Os,22.004378159978412,0.0,8.74926222,0.0,0.0001662,28.71104507864246,-11.22733445,Os,mp-49
